number_of_texts;number_of_stopwords;Sequential;Future 2C.;Future 4C.;Future 8C.;Parallel 2C.;Parallel 4C.;Parallel 8C.
200;100;0.0914790630340576;0.237484931945801;0.391028881072998;1.82334494590759;0.17858099937439;0.0973219871520996;0.091339111328125
200;2070;0.116569995880127;0.225579977035522;0.395827054977417;0.748679161071777;0.072094202041626;0.0672509670257568;0.0618081092834473
10000;100;3.81639313697815;2.17800498008728;1.44615602493286;1.46977615356445;2.42445707321167;1.41910696029663;1.35866403579712
10000;2070;4.95931720733643;2.63376402854919;1.63505792617798;1.67976379394531;2.82062292098999;1.66397500038147;1.55975699424744
5e+05;100;186.354327917099;100.262636899948;57.2225780487061;55.4606540203094;115.307898044586;66.9560329914093;92.6521050930023
5e+05;2070;230.273717880249;119.169142007828;69.8610320091248;63.4505391120911;134.876714944839;73.9379088878632;119.012589931488
200;100;0.139575004577637;0.209239959716797;0.360267162322998;0.798181056976318;0.0855119228363037;0.0590181350708008;0.056710958480835
200;2070;0.090076208114624;0.180866956710815;0.346935987472534;0.685102939605713;0.074552059173584;0.0574300289154053;0.0533280372619629
10000;100;4.43398499488831;2.43481707572937;1.71027612686157;1.90186500549316;2.59736323356628;1.33552813529968;1.21554207801819
10000;2070;6.52040982246399;2.7156879901886;1.6423180103302;2.02771902084351;3.25631093978882;1.64209580421448;1.54723000526428
5e+05;100;203.584163188934;108.495015144348;61.2304649353027;59.7867228984833;117.614010095596;92.5848820209503;126.501753091812
5e+05;2070;248.724514961243;130.760846138;87.8172390460968;84.0671060085297;148.526082992554;95.2306730747223;116.491276025772
