Column1,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Post Magazine'}","SCMP Editorial, SCMP Editorial",Focus needed on staff guidelines in childcare,"Abuse scandals at several facilities have prompted a move towards more monitoring and stronger legal safeguards. But until then, there must be a review or re-emphasis of the proper way for children to be treated",https://www.scmp.com/comment/article/3196103/focus-needed-staff-guidelines-childcare,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_editorial/public/d8/images/canvas/2022/10/15/d51261fe-beb4-481f-9ee4-40f763653b37_4dc0bca5.jpg?itok=uqw02NcS&v=1665843884,10/16/2022 7:45,"Published: 7:45am, 16 Oct, 2022
Updated: 7:45am, 16 Oct, 2022"
1,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse","11 die in ‘terrorist’ shooting at Russian military site, Russia’s defence ministry says","Russia said two gunmen from an ex-Soviet state on Saturday attacked a military training ground, killing 11 people who had volunteered to fight in Ukraine.",https://www.scmp.com/news/world/russia-central-asia/article/3196119/11-die-terrorist-shooting-russian-military-site,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/32300092-b55f-41c6-aa81-2087e49cb609_01c7d529.jpg?itok=n4C3SjEJ&v=1665874751,10/16/2022 7:00,"Published: 7:00am, 16 Oct, 2022
Updated: 7:00am, 16 Oct, 2022"
2,"{'id': None, 'name': 'Post Magazine'}","SCMP Editorial, SCMP Editorial",It will take more than free air tickets to show that Hong Kong is back,Putting the city back on the travel map remains a challenge when our regional rivals have swung their doors wide open. And what the city has suffered in recent years are far from minor setbacks that will need more than freebies and publicity to turn around,https://www.scmp.com/comment/article/3196098/it-will-take-more-free-air-tickets-show-hong-kong-back,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_editorial/public/d8/images/canvas/2022/10/15/a511be5e-b830-4c96-bd93-0c3c2484889f_e52b6102.jpg?itok=19nAEmlG&v=1665841303,10/16/2022 6:45,"Published: 6:45am, 16 Oct, 2022
Updated: 6:45am, 16 Oct, 2022"
3,"{'id': None, 'name': 'Post Magazine'}","Lisa Lim, Lisa Lim","Octopus word origin, the correct plural form, and the Chinese idiom that gave birth to the name of Hong Kong’s famous travel card","While the origins of the word ‘octopus’ are fairly straightforward, what isn’t so clear is the correct form of the plural.",https://www.scmp.com/magazines/post-magazine/article/3195920/octopus-word-origin-correct-plural-form-and-chinese-idiom,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_opinion/public/d8/images/canvas/2022/10/14/12e9cc60-aa0e-4118-a407-c6979201c184_646a1279.jpg?itok=bAfcdlPv&v=1665717750,10/16/2022 6:15,"Lisa Lim
Lisa Lim is Associate Professor in the School of Education at Curtin University in Perth, having previously held professoriate positions at universities in Singapore, Amsterdam, Sydney and … [+360 chars]"
4,"{'id': None, 'name': 'Post Magazine'}","Mimi Lau, Mimi Lau","Taiwan independence is ‘a dead end’, China’s Communist Party says ahead of key congress","Option of reunification by force targets separatists and external actors, not ‘compatriots in Taiwan’, party spokesman says in Beijing.",https://www.scmp.com/news/china/politics/article/3196105/taiwan-independence-dead-end-chinas-communist-party-says-ahead,https://cdn.i-scmp.com/sites/default/files/styles/og_20th_party_congress/public/d8/images/canvas/2022/10/15/8bb7ec47-6310-490a-8cb3-4c0a5d6fbafc_18a99a4b.jpg?itok=0k27CNOY&v=1665845049,10/16/2022 6:00,"Published: 6:00am, 16 Oct, 2022
Updated: 6:00am, 16 Oct, 2022"
5,"{'id': None, 'name': 'Post Magazine'}",Richard James Havis,"Hong Kong film star Chow Yun-fat on his dislike of violence, favourite actors, John Woo films, and why his wife is ‘amazing’","In interviews with the Post over the years, Chow Yun-fat talks about being a romantic at heart, his dislike for violence, why his favourite actor is Robert DeNiro, and how he copes with fame.",https://www.scmp.com/lifestyle/entertainment/article/3195934/hong-kong-film-star-chow-yun-fat-his-dislike-violence,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/14/7e4c0c4e-0f10-47de-8c31-6f658065cf6f_3d6cc931.jpg?itok=lBVtk_2C&v=1665722372,10/16/2022 5:15,"Published: 5:15am, 16 Oct, 2022
Updated: 5:15am, 16 Oct, 2022"
6,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse","Situation at Iran’s Evin prison ‘under control’ after ‘troubles’, state media reports","‘Troubles and clashes took place on Saturday night’ in the prison and ‘rioters’ started a fire, the IRNA news agency said, citing a senior security official. ‘The situation is currently completely under control,’ the source said.",https://www.scmp.com/news/world/middle-east/article/3196117/situation-irans-evin-prison-under-control-after-troubles,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/1479b11f-bf37-44e8-aef4-8a10e71607bd_66623a53.jpg?itok=IK7jvptH&v=1665866623,10/16/2022 4:45,"Published: 4:45am, 16 Oct, 2022
Updated: 4:45am, 16 Oct, 2022"
7,"{'id': None, 'name': 'Post Magazine'}","Agence France-Presse, Agence France-Presse","In reversal, Elon Musk’s SpaceX to continue funding Starlink in Ukraine",The announcement came one day after the tech billionaire suggested he could not keep funding the satellite internet project in war-torn Ukraine.,https://www.scmp.com/news/world/united-states-canada/article/3196116/reversal-elon-musks-spacex-continue-funding,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/cf9b3b44-d654-4f74-8985-273fb0bbc0f1_c010da6f.jpg?itok=Bc4s8XKi&v=1665864489,10/16/2022 4:11,"Published: 4:11am, 16 Oct, 2022
Updated: 4:11am, 16 Oct, 2022"
8,"{'id': None, 'name': 'Post Magazine'}","Associated Press, Associated Press",Climate activists in UK court after soup thrown at Van Gogh’s Sunflowers,"Two women were charged in relation to the soup-throwing protest on Friday, while a third was charged over paint sprayed at the Metropolitan Police’s headquarters. They all pleaded not guilty.",https://www.scmp.com/news/world/europe/article/3196115/climate-activists-uk-court-after-soup-thrown-van-goghs-sunflowers,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/b5cffc60-1358-4582-ad9a-dad9da2fb9d7_799387ba.jpg?itok=9uiq8Mlg&v=1665860723,10/16/2022 3:08,"Published: 3:08am, 16 Oct, 2022
Updated: 3:08am, 16 Oct, 2022"
9,"{'id': None, 'name': 'Post Magazine'}","dpa, dpa",Russian hackers block Bulgarian government websites in cyberattack,"The attack meant the websites of the president, the government, key ministries and the Constitutional Court in Bulgaria were all rendered inaccessible or were only able to run slowly, if at all, officials said.",https://www.scmp.com/news/world/europe/article/3196114/russian-hackers-block-bulgarian-government-websites-cyberattack,https://cdn.i-scmp.com/sites/default/files/styles/og_image_scmp_generic/public/d8/images/canvas/2022/10/16/5d6ec65f-a420-4320-a818-3056151e2f14_e07d1ad1.jpg?itok=rTfxq__L&v=1665859518,10/16/2022 2:46,"Russian hackers paralysed a series of Bulgarian government websites in a large-scale cyberattack, an investigator said on Saturday.
The attack meant the websites of the president, the government, ke… [+710 chars]"
