,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2022-10-15,1665763200,30.4,23.1,27.1,30.3,23.1,27.1,15.6,51.0,0.0,0.0,0.0,,0.0,0.0,32.4,25.8,12.4,1011.2,43.1,14.1,258.6,22.3,9.0,10.0,06:20:06,1665786006,17:59:07,1665827947,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
1,2022-10-16,1665849600,30.6,24.9,28.2,30.7,24.9,28.2,14.5,43.5,0.0,0.0,0.0,,0.0,0.0,50.4,30.3,356.3,1009.6,54.9,15.1,159.8,13.8,9.0,10.0,06:20:30,1665872430,17:58:17,1665914297,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
2,2022-10-17,1665936000,29.2,25.7,27.6,28.9,25.7,27.4,13.0,41.1,0.022,100.0,4.17,['rain'],0.0,0.0,68.0,37.4,10.8,1009.4,42.9,13.8,84.0,7.3,6.0,10.0,06:20:54,1665958854,17:57:27,1666000647,0.74,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
3,2022-10-18,1666022400,27.0,16.0,21.0,26.6,16.0,21.0,13.0,63.9,1.284,100.0,16.67,['rain'],0.0,0.0,60.8,40.3,33.6,1013.4,59.1,10.3,16.8,1.5,2.0,10.0,06:21:19,1666045279,17:56:38,1666086998,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
4,2022-10-19,1666108800,25.8,18.3,22.6,25.8,18.3,22.6,10.5,47.5,11.215,100.0,12.5,['rain'],0.0,0.0,54.7,26.7,42.7,1015.6,58.3,16.7,119.3,10.4,5.0,10.0,06:21:44,1666131704,17:55:49,1666173349,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
5,2022-10-20,1666195200,29.1,21.4,24.8,29.7,21.4,24.9,16.1,59.1,0.0,0.0,0.0,,0.0,0.0,39.6,26.2,89.3,1017.1,45.7,14.9,244.1,21.2,8.0,10.0,06:22:10,1666218130,17:55:02,1666259702,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
6,2022-10-21,1666281600,29.5,21.3,25.4,30.2,21.3,25.7,17.9,64.0,0.0,0.0,0.0,,0.0,0.0,25.2,17.1,97.4,1016.8,53.2,13.7,242.1,21.0,8.0,10.0,06:22:36,1666304556,17:54:15,1666346055,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
7,2022-10-22,1666368000,31.3,21.1,26.4,31.4,21.1,26.8,18.4,63.5,0.0,0.0,0.0,,0.0,0.0,28.8,19.8,55.8,1015.5,51.7,15.1,232.4,20.0,9.0,10.0,06:23:03,1666390983,17:53:29,1666432409,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
8,2022-10-23,1666454400,30.3,23.4,26.9,30.3,23.4,27.3,19.2,64.6,0.0,0.0,0.0,,0.0,0.0,32.4,26.9,80.8,1014.4,49.1,14.5,161.8,14.1,8.0,10.0,06:23:30,1666477410,17:52:44,1666518764,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
9,2022-10-24,1666540800,30.7,22.8,25.7,32.7,22.8,26.2,18.7,65.9,0.0,0.0,0.0,,0.0,0.0,50.0,30.0,99.6,1015.5,39.2,12.4,238.8,20.7,8.0,10.0,06:23:58,1666563838,17:52:00,1666605120,1.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
10,2022-10-25,1666627200,28.1,21.2,24.4,28.2,21.2,24.4,15.8,59.8,0.0,0.0,0.0,,0.0,0.0,39.6,26.6,103.8,1017.7,38.6,13.8,235.3,20.3,8.0,10.0,06:24:26,1666650266,17:51:17,1666691477,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999']",obs
11,2022-10-26,1666713600,29.1,20.9,24.3,29.0,20.9,24.3,16.0,61.0,0.0,0.0,0.0,,0.0,0.0,35.6,20.8,100.2,1016.8,43.7,15.0,240.6,20.8,8.0,10.0,06:24:55,1666736695,17:50:35,1666777835,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['45035099999', '45032099999', '59493099999', 'VMMC', '45011099999', 'VHHH', '45007099999', 'ZGSZ', '45039099999', '45044099999']",obs
