Datetime;Index Name;Index Value
2022-10-18 19:56:47.138222;Hang Seng Index;16,914.58
2022-10-18 19:58:21.891269;Hang Seng Index;16,914.58
2022-10-18 20:04:37.789341;Hang Seng Index;16,914.58
2022-10-18 20:06:14.238964;Hang Seng Index;16,914.58
2022-10-18 20:13:25.121850;Hang Seng Index;16,914.58
2022-10-18 20:18:43.840796;Hang Seng Index;16,914.58
2022-10-27 03:55:23.430825;Hang Seng Index;15,619.11
2022-10-27 04:04:42.307116;Hang Seng Index;15,584.25
2022-10-27 05:04:28.932274;Hang Seng Index;15,584.56
2022-10-27 06:04:50.728019;Hang Seng Index;15,651.19
2022-10-27 07:05:07.329350;Hang Seng Index;15,452.77
2022-10-27 08:04:34.504049;Hang Seng Index;15,475.11
2022-10-27 09:02:48.089457;Hang Seng Index;15,427.94
2022-10-27 10:02:56.287250;Hang Seng Index;15,427.94
2022-10-27 11:02:55.759943;Hang Seng Index;15,427.94
2022-10-27 12:02:59.841864;Hang Seng Index;15,427.94
2022-10-27 16:45:31.320603;Hang Seng Index;15,427.94
2022-10-27 17:03:33.431841;Hang Seng Index;15,427.94
2022-10-27 18:03:36.663062;Hang Seng Index;15,427.94
2022-10-27 19:03:39.855985;Hang Seng Index;15,427.94
2022-10-28 03:56:38.368763;Hang Seng Index;15,114.83
2022-10-28 04:05:15.737499;Hang Seng Index;15,096.07
2022-10-28 05:05:40.802409;Hang Seng Index;15,069.69
2022-10-28 06:05:40.682130;Hang Seng Index;14,876.76
2022-10-28 07:05:43.558386;Hang Seng Index;14,828.85
2022-10-28 08:05:03.452036;Hang Seng Index;14,815.36
2022-10-28 09:05:23.798234;Hang Seng Index;14,863.06
2022-10-28 10:05:34.298489;Hang Seng Index;14,863.06
2022-10-28 18:16:37.651052;Hang Seng Index;14,863.06
2022-10-28 19:05:47.384273;Hang Seng Index;14,863.06
2022-10-28 20:05:27.349929;Hang Seng Index;14,863.06
2022-10-28 21:05:00.701660;Hang Seng Index;14,863.06
2022-10-28 22:05:20.597580;Hang Seng Index;14,863.06
2022-10-28 23:05:17.119840;Hang Seng Index;14,863.06
2022-10-29 00:05:14.547625;Hang Seng Index;14,863.06
2022-10-29 01:05:11.053488;Hang Seng Index;14,863.06
2022-10-29 02:04:09.243196;Hang Seng Index;14,863.06
2022-10-29 03:05:11.140635;Hang Seng Index;14,863.06
2022-10-29 04:05:23.815048;Hang Seng Index;14,863.06
2022-10-29 05:05:03.737762;Hang Seng Index;14,863.06
2022-10-29 06:05:14.812531;Hang Seng Index;14,863.06
2022-10-29 07:05:02.754027;Hang Seng Index;14,863.06
2022-10-29 08:04:55.473832;Hang Seng Index;14,863.06
2022-10-29 10:13:10.081977;Hang Seng Index;14,863.06
2022-10-29 11:04:55.867377;Hang Seng Index;14,863.06
2022-10-29 12:04:16.481930;Hang Seng Index;14,863.06
2022-10-29 13:04:17.146558;Hang Seng Index;14,863.06
2022-10-29 14:05:24.780813;Hang Seng Index;14,863.06
2022-10-29 15:05:14.402439;Hang Seng Index;14,863.06
2022-10-30 02:33:11.127334;Hang Seng Index;14,863.06
2022-10-30 03:04:53.069957;Hang Seng Index;14,863.06
2022-10-30 05:42:43.138663;Hang Seng Index;14,863.06
2022-10-30 06:05:00.340810;Hang Seng Index;14,863.06
2022-10-30 07:04:47.131971;Hang Seng Index;14,863.06
2022-10-30 08:05:07.920773;Hang Seng Index;14,863.06
2022-10-30 09:04:05.085712;Hang Seng Index;14,863.06
2022-10-30 10:05:03.570044;Hang Seng Index;14,863.06
2022-10-30 11:04:50.797751;Hang Seng Index;14,863.06
2022-10-30 12:05:18.453377;Hang Seng Index;14,863.06
2022-10-30 13:04:34.617836;Hang Seng Index;14,863.06
2022-10-30 14:04:29.909714;Hang Seng Index;14,863.06
2022-10-30 15:11:28.338028;Hang Seng Index;14,863.06
2022-10-30 16:04:47.970675;Hang Seng Index;14,863.06
2022-10-30 17:04:47.397137;Hang Seng Index;14,863.06
2022-10-30 18:05:03.789351;Hang Seng Index;14,863.06
2022-10-30 19:04:57.662709;Hang Seng Index;14,863.06
2022-10-30 20:04:26.225998;Hang Seng Index;14,863.06
2022-10-30 21:04:37.972293;Hang Seng Index;14,863.06
2022-10-30 22:03:55.319695;Hang Seng Index;14,863.06
2022-10-30 23:04:58.577769;Hang Seng Index;14,863.06
2022-10-31 00:05:40.782854;Hang Seng Index;14,863.06
2022-10-31 01:05:12.873224;Hang Seng Index;14,863.06
2022-10-31 02:05:06.235524;Hang Seng Index;14,706.61
2022-10-31 05:48:54.438761;Hang Seng Index;14,978.08
2022-10-31 06:05:12.751192;Hang Seng Index;14,855.46
2022-10-31 07:05:27.859997;Hang Seng Index;14,789.63
2022-10-31 08:05:24.528082;Hang Seng Index;14,719.07
2022-10-31 09:05:21.523203;Hang Seng Index;14,687.02
2022-10-31 10:05:13.051761;Hang Seng Index;14,687.02
2022-10-31 11:05:06.957785;Hang Seng Index;14,687.02
2022-10-31 12:03:50.503547;Hang Seng Index;14,687.02
2022-10-31 13:03:59.819859;Hang Seng Index;14,687.02
2022-10-31 14:03:55.205265;Hang Seng Index;14,687.02
2022-10-31 15:03:52.330566;Hang Seng Index;14,687.02
2022-10-31 16:03:53.602621;Hang Seng Index;14,687.02
2022-10-31 17:03:53.807970;Hang Seng Index;14,687.02
2022-10-31 18:03:47.285809;Hang Seng Index;14,687.02
2022-10-31 19:03:51.100600;Hang Seng Index;14,687.02
2022-10-31 20:03:53.170906;Hang Seng Index;14,687.02
2022-10-31 21:03:43.994960;Hang Seng Index;14,687.02
2022-10-31 22:03:54.649337;Hang Seng Index;14,687.02
2022-10-31 23:03:53.738620;Hang Seng Index;14,687.02
2022-11-01 00:03:54.348571;Hang Seng Index;14,687.02
2022-11-01 01:04:02.692949;Hang Seng Index;14,687.02
2022-11-01 02:03:43.408555;Hang Seng Index;14,879.46
2022-11-01 03:03:46.113962;Hang Seng Index;15,252.64
2022-11-01 04:03:48.390439;Hang Seng Index;15,027.39
2022-11-01 05:03:43.692560;Hang Seng Index;15,033.28
2022-11-01 10:09:17.490817;Hang Seng Index;15,455.27
2022-11-01 11:04:13.603335;Hang Seng Index;15,455.27
2022-11-01 12:04:11.405400;Hang Seng Index;15,455.27
2022-11-01 13:04:24.469424;Hang Seng Index;15,455.27
2022-11-01 14:03:53.722223;Hang Seng Index;15,455.27
2022-11-01 15:03:53.555665;Hang Seng Index;15,455.27
2022-11-01 16:04:00.673278;Hang Seng Index;15,455.27
2022-11-01 17:03:41.091288;Hang Seng Index;15,455.27
2022-11-01 18:04:12.518204;Hang Seng Index;15,455.27
2022-11-01 19:04:02.761945;Hang Seng Index;15,455.27
2022-11-02 07:43:39.873998;Hang Seng Index;15,827.17
2022-11-02 08:03:45.199084;Hang Seng Index;15,827.17
2022-11-02 09:03:42.486458;Hang Seng Index;15,827.17
2022-11-02 10:03:47.781356;Hang Seng Index;15,827.17
2022-11-02 11:04:16.988110;Hang Seng Index;15,827.17
2022-11-02 12:03:27.895299;Hang Seng Index;15,827.17
2022-11-02 13:03:51.692415;Hang Seng Index;15,827.17
2022-11-02 14:03:44.466413;Hang Seng Index;15,827.17
2022-11-02 15:03:51.067235;Hang Seng Index;15,827.17
2022-11-02 16:03:30.635353;Hang Seng Index;15,827.17
2022-11-02 17:03:44.523396;Hang Seng Index;15,827.17
2022-11-02 18:03:34.132216;Hang Seng Index;15,827.17
2022-11-02 19:03:34.437355;Hang Seng Index;15,827.17
2022-11-02 20:03:37.116251;Hang Seng Index;15,827.17
2022-11-02 21:03:44.901280;Hang Seng Index;15,827.17
2022-11-02 22:03:36.827784;Hang Seng Index;15,827.17
2022-11-02 23:03:50.364918;Hang Seng Index;15,827.17
2022-11-03 00:03:36.583743;Hang Seng Index;15,827.17
2022-11-03 01:03:45.848098;Hang Seng Index;15,827.17
2022-11-03 02:03:40.655182;Hang Seng Index;15,580.23
2022-11-03 03:03:47.074962;Hang Seng Index;15,462.75
2022-11-03 04:03:44.702878;Hang Seng Index;15,335.95
2022-11-03 07:59:00.968366;Hang Seng Index;15,358.39
2022-11-03 08:03:51.889385;Hang Seng Index;15,355.74
2022-11-03 10:54:44.497800;Hang Seng Index;15,339.49
2022-11-03 11:04:19.512717;Hang Seng Index;15,339.49
2022-11-03 12:04:27.221274;Hang Seng Index;15,339.49
2022-11-03 13:04:22.446968;Hang Seng Index;15,339.49
2022-11-03 14:04:21.149544;Hang Seng Index;15,339.49
2022-11-03 15:04:24.553889;Hang Seng Index;15,339.49
2022-11-03 16:04:15.443566;Hang Seng Index;15,339.49
2022-11-03 17:04:35.903056;Hang Seng Index;15,339.49
2022-11-03 18:04:18.788405;Hang Seng Index;15,339.49
2022-11-03 19:04:23.110525;Hang Seng Index;15,339.49
2022-11-03 20:04:27.412421;Hang Seng Index;15,339.49
2022-11-03 21:04:15.039202;Hang Seng Index;15,339.49
2022-11-03 22:04:13.200197;Hang Seng Index;15,339.49
2022-11-03 23:04:06.477095;Hang Seng Index;15,339.49
2022-11-04 00:04:18.599072;Hang Seng Index;15,339.49
2022-11-04 01:04:20.892762;Hang Seng Index;15,339.49
2022-11-04 02:04:28.136160;Hang Seng Index;15,734.18
2022-11-04 03:04:22.664558;Hang Seng Index;16,018.31
