URL;datetime;heading;text;newssite
https://www.scmp.com/news/hong-kong/society/article/3198896/operation-santa-claus-hong-kong-charity-teaching-special-needs-children-communicate-gets-helping;2022-11-10 02:00:00+00:00; Operation Santa Claus: Hong Kong charity teaching special needs children to communicate gets helping hand; Organisation aims to popularise sign language, promotes sign bilingualism – the use of both signed and spoken language – and encourages inclusiveness Charity's Operation Santa Claus project will enable children with special needs aged 18 or below to learn sign language;South China Morning Post
https://www.scmp.com/news/hong-kong/society/article/3198955/hong-kong-worksite-deaths-harsher-penalties-employers-and-contractors-debated-over-alarming-trend;2022-11-10 01:00:00+00:00; Hong Kong worksite deaths: harsher penalties for employers and contractors debated over alarming trend that 'tears apart families'; Unionists want the law changed soon, but construction sector bosses feel targeted unfairly Construction sector fares worst in grim statistics of workplace accidents causing injury, death;South China Morning Post
https://www.scmp.com/news/hong-kong/health-environment/article/3199054/healthcare-start-ups-eye-potential-investors-hong-kongs-global-health-summit;2022-11-09 23:00:00+00:00; Healthcare start ups eye potential investors at Hong Kong's global health summit; About 180 local and overseas healthcare start ups to showcase innovations at Asia Summit on Global Health Chief Executive John Lee and World Health Organization deputy director general Zsuzsanna Jakab among speakers at summit;South China Morning Post
https://www.scmp.com/news/hong-kong/society/article/3199059/im-it-win-it-hong-kongs-florists-optimistic-about-business-ahead-lunar-new-year-fair;2022-11-09 15:58:00+00:00; 'I'm in it to win it': Hong Kongs florists optimistic about business ahead of Lunar New Year fair; Bidding for 175 wet goods stalls begins, with three by four metre stall attracting highest bid of HK$56,000 Event, which was suspended this year, will be held from January 16 to 22 next year at 15 locations, including Victoria Park;South China Morning Post
https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3199058/hong-kong-signs-deal-increase-investment-zhuhai-airport-bid-benefit-air-industry-both-cities;2022-11-09 15:46:00+00:00; Hong Kong signs deal to increase investment in Zhuhai airport in bid to benefit air industry in both cities; Hong Kong to invest more in Zhuhai airport and create aviation industrial park in Greater Bay Area city Aviation experts say the deal will boost both airports and solidify Hong Kong's position as a regional hub for international flights;South China Morning Post
https://www.scmp.com/news/hong-kong/law-and-crime/article/3199048/hong-kong-police-anti-scam-site-saves-public-least-hk400-million-fraud-losses-september-launch;2022-11-09 13:08:00+00:00; Hong Kong police anti scam site saves public at least HK$400 million in fraud losses since September launch, police say;" Police say 4,350 red flags raised among 74,000 inquiries in October alone; 7,450 rated at lower risk level Junk phone number database boss warns of increase in scam calls from city, rather than overseas";South China Morning Post
https://www.scmp.com/cdn-cgi/l/email-protection#5f333a2b2b3a2d2c1f2c3c322f713c3032;; Email Protection;" The website from which you got to this page is protected by Cloudflare. Email addresses on that page have been hidden in order to keep them from being accessed by malicious bots. You must enable Javascript in your browser in order to decode the e mail address. If you have a website and are interested in protecting it in a similar way, you can sign up for Cloudflare. Cloudflare Ray ID: 767b342d4f0ab10f
•

Your IP:
Click to reveal
34.73.6.137
•

Performance & security by Cloudflare";South China Morning Post
https://www.scmp.com/news/hong-kong/health-environment/article/3197357/hong-kong-covid-19-vaccination-exemptions-row-how-did-we-get-here-and-where-will-it-end;2022-10-26 14:03:00+00:00; Hong Kong Covid 19 vaccination exemptions row: how did we get here and where will it end?; Health chief's move to annul more than 20,000 vaccination exemptions has become a legal row Government's amendment to law may not be end of issue as former civil servant plans wider review;South China Morning Post
https://www.scmp.com/news/hong-kong/health-environment/article/3193651/coronavirus-hong-kong-finally-axing-hotel;2022-09-23 15:19:00+00:00; Coronavirus: Hong Kong is finally axing hotel quarantine for arrivals – here's what you need to know; Travellers will no longer be confined to hotel rooms for quarantine upon arrival in Hong Kong from Monday Unvaccinated residents are also allowed to enter the city;South China Morning Post
https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3192084/hong-kong-has-extended-its-covid-19-vaccine-pass;2022-09-11 03:00:00+00:00; Hong Kong has extended its Covid 19 vaccine pass to children as young as 5. Here's what parents need to know; New scheme comes into force on Friday with first phase requiring younger residents to get at least one vaccine dose Range of criteria for those who have recovered from Covid 19, depending on their vaccination status and time since last jab;South China Morning Post
